23:1755.2.a.g:[-2, 0, 2, -2, -2, -2, 2, -8, 0, 0, 12, 12, -6, 4, 20, 18, 6, 2, 14, -14, 6, 18, 12, 12, 26, 4, -16, -22, 20, 18]:[-1, 0, 1, -7, -7, 1, -31, 8, -32, -32, 36, 36, 1, -28, 92, 81, -63, 1, -23, 41, -63, 81, 28, 36, 161, -4, 56, 89, 28, 49]:1755.2.a.l:[2, 0, 2, 4, -4, -2, 8, 12, -6, 2, -2, 8, 0, 2, -14, -10, -12, -8, 4, -12, -12, 18, -4, 8, 8, 24, -2, -8, -4, -14]:[-2, 0, 1, 1, -8, 1, 16, 36, 9, -26, -2, -11, -3, -26, 46, 13, 33, -32, -23, -39, 9, 81, -44, -11, -92, 144, -146, -92, -44, -143]
23:1755.2.a.h:[-2, 0, -2, 4, 4, -2, -8, 12, 6, -2, -2, 8, 0, 2, 14, 10, 12, -8, 4, 12, -12, 18, 4, -8, 8, -24, -2, 8, -4, 14]:[-2, 0, 1, 1, -8, 1, 16, 36, 9, -26, -2, -11, -3, -26, 46, 13, 33, -32, -23, -39, 9, 81, -44, -11, -92, 144, -146, -92, -44, -143]:1755.2.a.k:[2, 0, -2, -2, 2, -2, -2, -8, 0, 0, 12, 12, 6, 4, -20, -18, -6, 2, 14, 14, 6, 18, -12, -12, 26, -4, -16, 22, 20, -18]:[-1, 0, 1, -7, -7, 1, -31, 8, -32, -32, 36, 36, 1, -28, 92, 81, -63, 1, -23, 41, -63, 81, 28, 36, 161, -4, 56, 89, 28, 49]
23:2205.2.a.ba:[2, 0, 2, 0, 2, -8, 10, -2, 6, -2, -6, 4, 2, -4, 4, -4, 10, -8, -12, -2, -8, 6, 6, 6, -16, -18, 8, 6, 22, -4]:[-2, 0, 1, 0, -2, 13, 22, -11, 6, -26, -3, -23, -2, -23, 4, -104, -2, 16, -39, -26, -59, -99, -138, -138, 16, 78, -11, -18, 121, -44]:2205.2.a.q:[-2, 0, 2, 0, -4, 4, 4, 0, 2, 2, 12, 0, -10, 10, 4, 8, -8, 6, 22, 8, -4, 24, 2, -6, -12, 2, 2, -14, -10, -8]:[-1, 0, 1, 0, -4, -4, -4, -8, -1, 1, 36, 0, 17, 23, 4, 8, -56, -63, 119, -56, -4, 136, -161, -23, 4, -127, -1, 31, -47, -56]
23:2205.2.a.n:[-2, 0, -2, 0, -4, -4, -4, 0, 2, 2, -12, 0, 10, 10, -4, 8, 8, -6, 22, 8, 4, 24, -2, 6, 12, -2, -2, -14, -10, -8]:[-1, 0, 1, 0, -4, -4, -4, -8, -1, 1, 36, 0, 17, 23, 4, 8, -56, -63, 119, -56, -4, 136, -161, -23, 4, -127, -1, 31, -47, -56]:2205.2.a.z:[2, 0, -2, 0, 2, 8, -10, 2, 6, -2, 6, 4, -2, -4, -4, -4, -10, 8, -12, -2, 8, 6, -6, -6, 16, 18, -8, 6, 22, -4]:[-2, 0, 1, 0, -2, 13, 22, -11, 6, -26, -3, -23, -2, -23, 4, -104, -2, 16, -39, -26, -59, -99, -138, -138, 16, 78, -11, -18, 121, -44]
23:3332.2.a.h:[0, -2, 0, 0, -6, -4, 2, -4, -6, 0, 2, 16, 12, 4, 0, 12, -12, 8, 16, -6, -4, -14, 12, -12, -4, 12, 8, 18, -8, 12]:[0, -2, -12, 0, 6, -8, 1, -8, 6, -12, -26, 52, 36, -104, -48, -12, 24, 4, 16, -18, 4, 22, 24, 24, -44, 24, -32, 78, -92, -156]:3332.2.a.k:[0, 1, -1, 0, 8, 2, 2, -10, 8, 4, -11, -2, 5, -5, -2, 5, 16, -13, 9, -14, 3, 2, 8, 6, 23, 18, -28, -2, 24, -26]:[0, -3, -3, 0, 16, -12, 1, 12, 16, -48, 27, -116, -75, 3, -12, 3, 64, -39, 17, 36, -79, -12, -36, -108, 129, 68, 196, -12, 92, 156]
23:4510.2.a.o:[2, -2, -2, -2, -2, 8, -2, -2, -4, 6, 10, -2, -2, 4, 12, -6, 12, -2, 0, 10, -4, 0, 4, 10, -8, 8, 12, 36, 4, 24]:[1, -1, 1, -1, 1, 14, -7, -7, 4, 7, 23, -17, 1, 2, 4, 1, 34, 1, -8, -47, -68, -162, -4, 7, 16, -56, -14, 322, -68, 94]:4510.2.a.q:[2, 2, -2, 8, -2, 0, 10, -4, -4, 2, 0, -4, -2, 12, -12, 20, 12, -12, -6, 10, 0, 2, 12, 8, -22, -2, -4, 0, 2, 0]:[1, -2, 1, 16, 1, -12, 22, -8, 4, -2, 0, -8, 1, 24, 24, 100, -12, -12, 6, 22, -12, -26, 24, 4, 118, -26, -188, 0, -242, -12]
23:5320.2.a.i:[0, -2, -2, -2, 4, 0, -6, -2, -6, 0, 4, -2, 22, 6, 8, -14, 16, -12, 16, -6, 2, -12, -12, 16, 0, 12, 4, -20, -4, -22]:[0, -1, 1, 1, -4, -8, 1, 1, 9, -8, -28, -17, 119, -23, 16, 31, 64, 28, 56, 7, -31, 4, 36, 56, -128, 28, 4, 100, -28, 71]:5320.2.a.l:[0, 2, -2, -2, -8, 2, 0, -2, 8, 4, -6, -18, -6, 14, -6, -8, 12, 0, 14, -6, 0, -6, 6, -12, -10, 24, -8, 26, 0, 24]:[0, -2, 1, 1, 13, -11, -3, 1, 13, -71, -18, 78, -3, 46, 6, -32, 9, -3, 37, -39, -108, 9, -3, -72, -50, 141, -227, 169, -300, 117]
23:6358.2.a.a:[-1, -3, 3, -2, -1, -2, 0, -4, -3, -4, -8, 5, -8, 8, -9, 14, -5, -12, -12, 8, 14, 4, 12, 15, 10, 14, 11, -18, -10, -14]:[-1, -3, 3, -2, -1, -2, 0, -4, -3, -4, -8, 5, -8, 8, -9, 14, -5, -12, -12, 8, 14, 4, 12, 15, 10, 14, 11, -18, -10, -14]:6358.2.a.k:[-2, 4, -4, -4, -2, 6, 0, -2, -2, 2, -6, 0, 0, -4, 18, -8, 16, -4, 0, 16, 4, -4, 18, -16, 8, 6, 16, -4, 2, -22]:[1, 2, 2, 4, 1, 7, 0, -31, -49, -1, 7, -2, -18, -4, 79, 14, 56, -4, -98, 64, -94, -124, 49, 64, -112, -89, 32, -68, -97, 89]
23:6358.2.a.g:[-1, 3, -3, 2, 1, -2, 0, -4, 3, 4, 8, -5, 8, 8, -9, 14, -5, 12, -12, -8, -14, -4, 12, 15, -10, 14, 11, 18, 10, 14]:[-1, 3, -3, 2, 1, -2, 0, -4, 3, 4, 8, -5, 8, 8, -9, 14, -5, 12, -12, -8, -14, -4, 12, 15, -10, 14, 11, 18, 10, 14]:6358.2.a.j:[-2, -4, 4, 4, 2, 6, 0, -2, 2, -2, 6, 0, 0, -4, 18, -8, 16, 4, 0, -16, -4, 4, 18, -16, -8, 6, 16, 4, -2, 22]:[1, 2, 2, 4, 1, 7, 0, -31, -49, -1, 7, -2, -18, -4, 79, 14, 56, -4, -98, 64, -94, -124, 49, 64, -112, -89, 32, -68, -97, 89]
23:6650.2.a.bu:[2, -1, 0, 2, 3, 2, 8, 2, 6, 5, 20, -3, -3, -15, 15, 5, 7, -7, 4, 3, -2, 9, -16, 21, -23, -20, 2, -26, -5, 16]:[1, -7, 0, 1, -5, -28, 16, 1, -20, -1, 100, -5, -63, 49, 49, -1, -53, 5, 4, -5, -28, 13, 64, 45, 125, 100, -28, 140, -1, 64]:6650.2.a.bx:[2, 0, 0, 2, -2, 6, -2, 2, -6, 6, 4, 4, 10, 12, -4, 0, 10, 18, 10, 14, -4, 6, -2, 8, 28, 10, -18, -14, -20, -14]:[1, -2, 0, 1, -17, 1, -1, 1, 7, 7, -14, -46, 25, 18, -14, -32, 7, 79, -7, 49, -4, -63, -71, 16, 178, 7, 31, -79, 92, 31]
