['10000.2.a.b', '10000.2.a.v']
['10000.2.a.c', '10000.2.a.t']
['10000.2.a.f', '10000.2.a.r']
['10000.2.a.g', '10000.2.a.q']
['10000.2.a.h', '10000.2.a.y']
['10000.2.a.i', '10000.2.a.z']
['10000.2.a.l', '10000.2.a.x']
['10000.2.a.m', '10000.2.a.u']
['1001.2.a.d', '1001.2.a.g']
['1012.2.a.a', '1012.2.a.h']
['1017.2.a.n', '1017.2.a.r']
['105.2.a.b', '1155.2.a.r']
['1089.2.a.a', '1089.2.a.t']
['1089.2.a.e', '1089.2.a.n']
['1089.2.a.f', '1089.2.a.n']
['1089.2.a.k', '1089.2.a.l']
['1089.2.a.l', '1089.2.a.o']
['1089.2.a.m', '1089.2.a.p']
['1089.2.a.o', '1089.2.a.t']
['1089.2.a.p', '1089.2.a.s']
['1089.2.a.q', '1089.2.a.w']
['1089.2.a.r', '1089.2.a.v']
['1090.2.a.i', '1090.2.a.m']
['113.2.a.b', '113.2.a.d']
['1144.2.a.c', '1144.2.a.e']
['116.2.a.a', '1276.2.a.b']
['118.2.a.d', '1298.2.a.g']
['1180.2.a.b', '1180.2.a.c']
['1182.2.a.b', '1182.2.a.c']
['1183.2.a.c', '1183.2.a.e']
['1183.2.a.f', '1183.2.a.g']
['1190.2.a.c', '1190.2.a.k']
['1209.2.a.c', '1209.2.a.f']
['1210.2.a.a', '1210.2.a.p']
['1210.2.a.c', '1210.2.a.d']
['1210.2.a.f', '1210.2.a.u']
['1210.2.a.g', '1210.2.a.n']
['1210.2.a.h', '1210.2.a.t']
['1210.2.a.i', '1210.2.a.j']
['1210.2.a.l', '1210.2.a.v']
['1210.2.a.m', '1210.2.a.q']
['1210.2.a.n', '1210.2.a.o']
['1210.2.a.o', '1210.2.a.p']
['1210.2.a.q', '1210.2.a.s']
['1210.2.a.s', '1210.2.a.t']
['1212.2.a.b', '1212.2.a.c']
['1234.2.a.e', '1234.2.a.g']
['1246.2.a.j', '1246.2.a.l']
['1254.2.a.k', '1254.2.a.n']
['1258.2.a.a', '1258.2.a.g']
['1258.2.a.b', '1258.2.a.g']
['1276.2.a.b', '1276.2.a.c']
['1278.2.a.m', '1278.2.a.n']
['1278.2.a.p', '1278.2.a.q']
['129.2.a.d', '1419.2.a.c']
['129.2.a.d', '1419.2.a.a']
['1292.2.a.a', '1292.2.a.d']
['1298.2.a.c', '1298.2.a.f']
['1319.2.a.a', '1319.2.a.b']
['1325.2.a.g', '1325.2.a.h']
['1359.2.a.a', '1359.2.a.b']
['1377.2.a.a', '1377.2.a.f']
['1377.2.a.b', '1377.2.a.e']
['1392.2.a.b', '1392.2.a.q']
['14.2.a.a', '1694.2.a.y']
['1406.2.a.j', '1406.2.a.l']
['141.2.a.e', '1551.2.a.b']
['1419.2.a.a', '1419.2.a.c']
['1452.2.a.a', '1452.2.a.j']
['1452.2.a.b', '1452.2.a.i']
['1452.2.a.d', '1452.2.a.m']
['1452.2.a.e', '1452.2.a.l']
['1452.2.a.g', '1452.2.a.m']
['1452.2.a.h', '1452.2.a.l']
['1452.2.a.i', '1452.2.a.k']
['1452.2.a.j', '1452.2.a.k']
['1455.2.a.f', '1455.2.a.g']
['1455.2.a.j', '1455.2.a.n']
['1456.2.a.e', '1456.2.a.t']
['1498.2.a.d', '1498.2.a.j']
['1520.2.a.j', '1520.2.a.t']
['1587.2.a.m', '1587.2.a.n']
['1598.2.a.d', '1598.2.a.g']
['1602.2.a.d', '1602.2.a.j']
['1614.2.a.b', '1614.2.a.d']
['1640.2.a.h', '1640.2.a.j']
['1660.2.a.f', '1660.2.a.g']
['1683.2.a.bb', '1683.2.a.l']
['1683.2.a.q', '1683.2.a.x']
['1694.2.a.a', '1694.2.a.k']
['1694.2.a.b', '1694.2.a.x']
['1694.2.a.ba', '1694.2.a.e']
['1694.2.a.ba', '1694.2.a.t']
['1694.2.a.ba', '1694.2.a.z']
