['1014.2.a.a', '1014.2.a.l']
['1014.2.a.b', '1014.2.a.m']
['1014.2.a.c', '1014.2.a.m']
['1014.2.a.e', '1014.2.a.n']
['1014.2.a.f', '1014.2.a.o']
['1014.2.a.g', '1014.2.a.o']
['1014.2.a.h', '1014.2.a.l']
['1014.2.a.i', '1014.2.a.m']
['1014.2.a.j', '1014.2.a.n']
['1014.2.a.k', '1014.2.a.o']
['1015.2.a.c', '1015.2.a.f']
['1015.2.a.d', '1015.2.a.f']
['1016.2.a.b', '1016.2.a.c']
['1017.2.a.m', '1017.2.a.q']
['1032.2.a.d', '1032.2.a.h']
['1090.2.a.g', '1090.2.a.m']
['1098.2.a.c', '1098.2.a.p']
['1098.2.a.k', '1098.2.a.m']
['1118.2.a.a', '1118.2.a.i']
['1144.2.a.h', '88.2.a.b']
['1174.2.a.b', '1174.2.a.c']
['1183.2.a.e', '1183.2.a.j']
['1183.2.a.f', '1183.2.a.h']
['1197.2.a.k', '1197.2.a.l']
['1226.2.a.b', '1226.2.a.c']
['1245.2.a.a', '1245.2.a.f']
['1251.2.a.g', '1251.2.a.i']
['1262.2.a.b', '1262.2.a.c']
['1272.2.a.b', '1272.2.a.i']
['1330.2.a.q', '1330.2.a.r']
['1340.2.a.d', '1340.2.a.f']
['1341.2.a.a', '1341.2.a.b']
['1352.2.a.d', '1352.2.a.i']
['1352.2.a.e', '1352.2.a.j']
['1352.2.a.f', '1352.2.a.i']
['1352.2.a.h', '1352.2.a.j']
['1352.2.a.i', '1352.2.a.l']
['1352.2.a.j', '1352.2.a.k']
['1353.2.a.e', '1353.2.a.i']
['1392.2.a.o', '1392.2.a.u']
['147.2.a.b', '1911.2.a.l']
['147.2.a.c', '1911.2.a.m']
['1494.2.a.f', '1494.2.a.j']
['152.2.a.b', '1976.2.a.d']
['1520.2.a.n', '1520.2.a.p']
['1521.2.a.a', '1521.2.a.s']
['1521.2.a.b', '1521.2.a.i']
['1521.2.a.c', '1521.2.a.i']
['1521.2.a.d', '1521.2.a.n']
['1521.2.a.g', '1521.2.a.p']
['1521.2.a.g', '1521.2.a.o']
