['1002.2.a.f', '1002.2.a.g']
['1030.2.a.c', '1030.2.a.i']
['1148.2.a.a', '1148.2.a.b']
['1156.2.a.b', '1156.2.a.h']
['1156.2.a.b', '1156.2.a.g']
['1156.2.a.c', '1156.2.a.e']
['1156.2.a.c', '1156.2.a.f']
['1156.2.a.d', '1156.2.a.h']
['1156.2.a.d', '1156.2.a.g']
['1156.2.a.e', '1156.2.a.h']
['1156.2.a.e', '1156.2.a.g']
['1156.2.a.f', '1156.2.a.h']
['1156.2.a.f', '1156.2.a.g']
['1270.2.a.b', '1270.2.a.d']
['1276.2.a.a', '1276.2.a.d']
['1288.2.a.b', '1288.2.a.l']
['1298.2.a.f', '1298.2.a.g']
['1325.2.a.k', '1325.2.a.r']
['1369.2.a.i', '1369.2.a.j']
['1369.2.a.k', '1369.2.a.l']
['140.2.a.b', '2380.2.a.f']
['1420.2.a.c', '1420.2.a.e']
['147.2.a.d', '2499.2.a.x']
['147.2.a.e', '2499.2.a.y']
['1479.2.a.i', '1479.2.a.l']
['1484.2.a.d', '1484.2.a.g']
['1485.2.a.i', '1485.2.a.r']
['1485.2.a.m', '1485.2.a.t']
['1534.2.a.e', '1534.2.a.f']
['1548.2.a.h', '1548.2.a.i']
['1683.2.a.u', '1683.2.a.v']
['1692.2.a.f', '1692.2.a.j']
['171.2.a.e', '2907.2.a.d']
['171.2.a.e', '2907.2.a.f']
['1734.2.a.a', '1734.2.a.t']
['1734.2.a.c', '1734.2.a.t']
['1734.2.a.d', '1734.2.a.p']
['1734.2.a.e', '1734.2.a.q']
['1734.2.a.f', '1734.2.a.u']
['1734.2.a.g', '1734.2.a.u']
['1734.2.a.i', '1734.2.a.n']
['1734.2.a.k', '1734.2.a.v']
['1734.2.a.l', '1734.2.a.w']
['1734.2.a.m', '1734.2.a.o']
['1734.2.a.n', '1734.2.a.r']
['1734.2.a.o', '1734.2.a.s']
['1734.2.a.p', '1734.2.a.t']
['1734.2.a.q', '1734.2.a.u']
['1734.2.a.r', '1734.2.a.v']
['1734.2.a.s', '1734.2.a.w']
['1791.2.a.a', '1791.2.a.c']
['1813.2.a.d', '1813.2.a.i']
['1818.2.a.a', '1818.2.a.v']
['1818.2.a.s', '1818.2.a.u']
['1827.2.a.i', '1827.2.a.j']
['1866.2.a.j', '1866.2.a.n']
['1953.2.a.q', '1953.2.a.s']
['1962.2.a.h', '1962.2.a.k']
['1975.2.a.f', '1975.2.a.j']
['1988.2.a.b', '1988.2.a.c']
['1995.2.a.c', '1995.2.a.s']
['2150.2.a.bf', '2150.2.a.z']
['2223.2.a.l', '2223.2.a.m']
['2224.2.a.f', '2224.2.a.i']
['2261.2.a.c', '2261.2.a.i']
['2286.2.a.o', '2286.2.a.p']
['2286.2.a.v', '2286.2.a.w']
['231.2.a.b', '3927.2.a.i']
['2312.2.a.e', '2312.2.a.j']
['2312.2.a.e', '2312.2.a.t']
['2312.2.a.g', '2312.2.a.o']
['2312.2.a.g', '2312.2.a.r']
['2312.2.a.h', '2312.2.a.p']
['2312.2.a.h', '2312.2.a.q']
['2312.2.a.j', '2312.2.a.n']
