['1030.2.a.d', '1030.2.a.i']
['105.2.a.b', '1995.2.a.k']
['1055.2.a.c', '1055.2.a.e']
['1070.2.a.b', '1070.2.a.e']
['1070.2.a.e', '1070.2.a.j']
['1072.2.a.f', '1072.2.a.h']
['1083.2.a.f', '1083.2.a.n']
['1083.2.a.f', '1083.2.a.j']
['1083.2.a.g', '1083.2.a.k']
['1083.2.a.g', '1083.2.a.m']
['1083.2.a.h', '1083.2.a.l']
['1083.2.a.i', '1083.2.a.o']
['1083.2.a.j', '1083.2.a.n']
['1083.2.a.k', '1083.2.a.m']
['1127.2.a.c', '1127.2.a.f']
['1168.2.a.e', '1168.2.a.i']
['1305.2.a.k', '1305.2.a.o']
['1305.2.a.p', '1305.2.a.q']
['1378.2.a.a', '1378.2.a.i']
['1462.2.a.d', '1462.2.a.f']
['147.2.a.b', '2793.2.a.y']
['147.2.a.c', '2793.2.a.ba']
['1488.2.a.q', '1488.2.a.r']
['1519.2.a.a', '1519.2.a.c']
['1526.2.a.h', '1526.2.a.k']
['153.2.a.b', '2907.2.a.g']
['153.2.a.e', '2907.2.a.i']
['1534.2.a.d', '1534.2.a.g']
['1557.2.a.a', '1557.2.a.c']
['1634.2.a.g', '86.2.a.b']
['1648.2.a.f', '1648.2.a.k']
['1722.2.a.g', '1722.2.a.x']
['1746.2.a.i', '1746.2.a.n']
['1805.2.a.a', '1805.2.a.k']
['1805.2.a.b', '1805.2.a.k']
['1805.2.a.c', '1805.2.a.l']
['1805.2.a.e', '1805.2.a.l']
['1805.2.a.i', '1805.2.a.n']
['1805.2.a.j', '1805.2.a.o']
['1812.2.a.c', '1812.2.a.e']
['1818.2.a.f', '1818.2.a.w']
['1818.2.a.h', '1818.2.a.x']
['1840.2.a.k', '1840.2.a.s']
['1840.2.a.p', '1840.2.a.r']
['187.2.a.e', '3553.2.a.d']
['1953.2.a.p', '1953.2.a.r']
['200.2.a.a', '3800.2.a.s']
['200.2.a.e', '3800.2.a.t']
['2009.2.a.b', '2009.2.a.g']
['2022.2.a.m', '2022.2.a.n']
['2032.2.a.h', '2032.2.a.l']
['204.2.a.a', '3876.2.a.g']
['204.2.a.b', '3876.2.a.i']
['2068.2.a.f', '2068.2.a.h']
['2070.2.a.t', '2070.2.a.u']
['2076.2.a.c', '2076.2.a.d']
['2082.2.a.e', '2082.2.a.g']
['2128.2.a.o', '2128.2.a.s']
['2145.2.a.h', '2145.2.a.p']
['2150.2.a.t', '2150.2.a.w']
['216.2.a.a', '4104.2.a.h']
['216.2.a.d', '4104.2.a.e']
['2166.2.a.b', '2166.2.a.v']
['2166.2.a.c', '2166.2.a.w']
['2166.2.a.e', '2166.2.a.q']
['2166.2.a.f', '2166.2.a.x']
['2166.2.a.g', '2166.2.a.s']
['2166.2.a.h', '2166.2.a.y']
['2166.2.a.j', '2166.2.a.n']
['2166.2.a.j', '2166.2.a.o']
['2166.2.a.k', '2166.2.a.q']
['2166.2.a.k', '2166.2.a.p']
['2166.2.a.l', '2166.2.a.s']
['2166.2.a.l', '2166.2.a.r']
['2166.2.a.m', '2166.2.a.u']
['2166.2.a.m', '2166.2.a.t']
['2166.2.a.n', '2166.2.a.v']
['2166.2.a.o', '2166.2.a.v']
['2166.2.a.p', '2166.2.a.w']
['2166.2.a.q', '2166.2.a.w']
['2166.2.a.r', '2166.2.a.x']
['2166.2.a.s', '2166.2.a.x']
['2166.2.a.t', '2166.2.a.y']
['2166.2.a.u', '2166.2.a.y']
['2230.2.a.i', '2230.2.a.n']
['2277.2.a.g', '2277.2.a.h']
['2358.2.a.be', '2358.2.a.y']
['2370.2.a.e', '2370.2.a.x']
['2378.2.a.g', '2378.2.a.i']
['2442.2.a.j', '2442.2.a.o']
['2442.2.a.k', '2442.2.a.r']
['2460.2.a.e', '2460.2.a.h']
['2466.2.a.n', '2466.2.a.q']
['2502.2.a.p', '2502.2.a.v']
['2526.2.a.g', '2526.2.a.l']
['2526.2.a.h', '2526.2.a.n']
['2541.2.a.bm', '2541.2.a.x']
['2541.2.a.bn', '2541.2.a.p']
['2556.2.a.c', '2556.2.a.f']
['258.2.a.e', '4902.2.a.bd']
['2583.2.a.i', '2583.2.a.m']
['260.2.a.b', '4940.2.a.i']
['2601.2.a.w', '2601.2.a.z']
['2601.2.a.x', '2601.2.a.y']
['2655.2.a.p', '2655.2.a.r']
['2656.2.a.i', '2656.2.a.k']
['2656.2.a.j', '2656.2.a.l']
['2754.2.a.h', '2754.2.a.m']
['2754.2.a.k', '2754.2.a.v']
['2775.2.a.q', '2775.2.a.x']
['2783.2.a.c', '2783.2.a.e']
['2790.2.a.be', '2790.2.a.bi']
['2832.2.a.h', '2832.2.a.r']
['2864.2.a.i', '2864.2.a.j']
['2888.2.a.g', '2888.2.a.p']
['2888.2.a.h', '2888.2.a.m']
['2888.2.a.i', '2888.2.a.r']
['2888.2.a.j', '2888.2.a.s']
['2888.2.a.k', '2888.2.a.n']
['2888.2.a.l', '2888.2.a.q']
['2888.2.a.m', '2888.2.a.p']
['2888.2.a.q', '2888.2.a.s']
['2904.2.a.ba', '2904.2.a.v']
['2904.2.a.w', '2904.2.a.z']
['2934.2.a.q', '2934.2.a.y']
['2950.2.a.bb', '2950.2.a.bn']
['2950.2.a.be', '2950.2.a.bj']
['2950.2.a.bi', '2950.2.a.x']
['2950.2.a.bm', '2950.2.a.y']
['2982.2.a.m', '2982.2.a.s']
['2982.2.a.p', '2982.2.a.u']
['3069.2.a.f', '3069.2.a.g']
['3090.2.a.l', '3090.2.a.t']
['3123.2.a.b', '3123.2.a.e']
['315.2.a.d', '5985.2.a.z']
['3190.2.a.f', '3190.2.a.n']
['3249.2.a.ba', '3249.2.a.be']
['3249.2.a.ba', '3249.2.a.bd']
['3249.2.a.bb', '3249.2.a.be']
['3249.2.a.bb', '3249.2.a.bd']
