['1118.2.a.d', '1118.2.a.e']
['1204.2.a.a', '1204.2.a.b']
['1287.2.a.g', '1287.2.a.k']
['1340.2.a.e', '1340.2.a.h']
['1395.2.a.g', '1395.2.a.m']
['1420.2.a.a', '1420.2.a.d']
['166.2.a.c', '3818.2.a.i']
['1746.2.a.g', '1746.2.a.m']
['1755.2.a.g', '1755.2.a.l']
['1755.2.a.h', '1755.2.a.k']
['1776.2.a.f', '1776.2.a.t']
['1878.2.a.e', '1878.2.a.h']
['1881.2.a.d', '1881.2.a.j']
['2072.2.a.f', '2072.2.a.g']
['2088.2.a.q', '2088.2.a.t']
['2106.2.a.h', '2106.2.a.q']
['2106.2.a.o', '2106.2.a.r']
['2118.2.a.n', '2118.2.a.o']
['2170.2.a.bd', '2170.2.a.y']
['2205.2.a.ba', '2205.2.a.q']
['2205.2.a.bf', '2205.2.a.t']
['2205.2.a.bg', '2205.2.a.v']
['2205.2.a.n', '2205.2.a.z']
['2235.2.a.i', '2235.2.a.k']
['2314.2.a.g', '2314.2.a.i']
['2320.2.a.i', '2320.2.a.s']
['2322.2.a.i', '2322.2.a.q']
['2322.2.a.p', '2322.2.a.r']
['2424.2.a.i', '2424.2.a.o']
['2480.2.a.q', '2480.2.a.x']
['2502.2.a.l', '2502.2.a.r']
['2574.2.a.bh', '2574.2.a.c']
['2574.2.a.bj', '2574.2.a.x']
['2590.2.a.f', '2590.2.a.p']
['261.2.a.d', '261.2.a.e']
['2630.2.a.f', '2630.2.a.j']
['2664.2.a.l', '2664.2.a.p']
['2718.2.a.s', '2718.2.a.y']
['2725.2.a.e', '2725.2.a.i']
['2793.2.a.bb', '2793.2.a.l']
['2793.2.a.k', '2793.2.a.z']
['2907.2.a.c', '2907.2.a.g']
['2934.2.a.p', '2934.2.a.u']
['3185.2.a.j', '3185.2.a.q']
['3195.2.a.i', '3195.2.a.l']
['3216.2.a.o', '3216.2.a.u']
['3225.2.a.l', '3225.2.a.r']
['3256.2.a.c', '3256.2.a.e']
['3258.2.a.n', '3258.2.a.r']
['3332.2.a.h', '3332.2.a.k']
['344.2.a.b', '7912.2.a.h']
['3465.2.a.ba', '3465.2.a.bj']
['3472.2.a.k', '3472.2.a.l']
['3504.2.a.bd', '3504.2.a.bh']
['354.2.a.h', '8142.2.a.m']
['3550.2.a.bd', '3550.2.a.v']
['3550.2.a.s', '3550.2.a.x']
['3624.2.a.e', '3624.2.a.g']
['3640.2.a.m', '3640.2.a.u']
['369.2.a.e', '369.2.a.f']
['3800.2.a.n', '3800.2.a.r']
['3864.2.a.g', '3864.2.a.k']
['3906.2.a.bd', '3906.2.a.bm']
['4002.2.a.bd', '4002.2.a.r']
['4074.2.a.p', '4074.2.a.t']
['4074.2.a.q', '4074.2.a.x']
['4095.2.a.bf', '4095.2.a.p']
['4144.2.a.q', '4144.2.a.r']
['4165.2.a.be', '4165.2.a.t']
['4176.2.a.bq', '4176.2.a.bx']
['4176.2.a.br', '4176.2.a.bw']
['4220.2.a.c', '4220.2.a.d']
['4485.2.a.m', '4485.2.a.n']
['4510.2.a.o', '4510.2.a.q']
['4550.2.a.bg', '4550.2.a.bq']
['4550.2.a.bh', '4550.2.a.bt']
['4606.2.a.n', '4606.2.a.o']
['4655.2.a.u', '4655.2.a.v']
['4761.2.a.bc', '4761.2.a.d']
['4761.2.a.bc', '4761.2.a.o']
['4761.2.a.bc', '4761.2.a.e']
['4816.2.a.b', '4816.2.a.q']
['4848.2.a.bc', '4848.2.a.bj']
['4878.2.a.o', '4878.2.a.p']
['4890.2.a.m', '4890.2.a.p']
['4902.2.a.bb', '4902.2.a.p']
['4902.2.a.bc', '4902.2.a.q']
['4902.2.a.bd', '4902.2.a.y']
['4920.2.a.p', '4920.2.a.q']
['5148.2.a.i', '5148.2.a.o']
['5150.2.a.ba', '5150.2.a.bk']
['5150.2.a.bk', '5150.2.a.y']
['5152.2.a.o', '5152.2.a.p']
['5152.2.a.q', '5152.2.a.r']
['5200.2.a.cb', '5200.2.a.ce']
['5200.2.a.cf', '5200.2.a.cj']
['5232.2.a.t', '5232.2.a.u']
['5304.2.a.v', '5304.2.a.y']
['5310.2.a.bh', '5310.2.a.v']
['5310.2.a.bk', '5310.2.a.z']
['5320.2.a.i', '5320.2.a.l']
['5328.2.a.bi', '5328.2.a.bn']
['5328.2.a.bj', '5328.2.a.v']
['5360.2.a.bd', '5360.2.a.p']
['5382.2.a.bd', '5382.2.a.t']
['5430.2.a.e', '5430.2.a.i']
['5450.2.a.bk', '5450.2.a.z']
['5511.2.a.i', '5511.2.a.j']
['5537.2.a.f', '5537.2.a.h']
['5598.2.a.s', '5598.2.a.t']
['5634.2.a.k', '5634.2.a.m']
['5680.2.a.d', '5680.2.a.v']
['5790.2.a.h', '5790.2.a.l']
['5904.2.a.bd', '5904.2.a.bk']
['5910.2.a.n', '5910.2.a.r']
['5928.2.a.u', '5928.2.a.v']
['6076.2.a.c', '6076.2.a.d']
['6160.2.a.ba', '6160.2.a.bn']
['6160.2.a.bo', '6160.2.a.t']
['6288.2.a.bc', '6288.2.a.x']
['6354.2.a.bb', '6354.2.a.bc']
['6358.2.a.a', '6358.2.a.k']
['6358.2.a.g', '6358.2.a.j']
['6435.2.a.s', '6435.2.a.x']
['6512.2.a.f', '6512.2.a.q']
['6512.2.a.k', '6512.2.a.o']
['6525.2.a.bg', '6525.2.a.o']
['6642.2.a.ba', '6642.2.a.bn']
['6642.2.a.be', '6642.2.a.bk']
['6642.2.a.bg', '6642.2.a.br']
['6642.2.a.bl', '6642.2.a.y']
['6650.2.a.bu', '6650.2.a.bx']
['6660.2.a.p', '6660.2.a.q']
['6672.2.a.bc', '6672.2.a.r']
['6678.2.a.bg', '6678.2.a.bo']
['6700.2.a.m', '6700.2.a.t']
['6705.2.a.p', '6705.2.a.r']
['6732.2.a.g', '6732.2.a.m']
['6768.2.a.bm', '6768.2.a.bv']
['6786.2.a.bb', '6786.2.a.bj']
['6825.2.a.ba', '6825.2.a.bd']
['6864.2.a.bd', '6864.2.a.bs']
['6942.2.a.q', '6942.2.a.s']
['6975.2.a.bj', '6975.2.a.u']
['7050.2.a.bu', '7050.2.a.bv']
['7100.2.a.b', '7100.2.a.h']
['7104.2.a.bb', '7104.2.a.bu']
['7104.2.a.bp', '7104.2.a.m']
['7150.2.a.bb', '7150.2.a.bg']
['7190.2.a.c', '7190.2.a.d']
['7245.2.a.bf', '7245.2.a.z']
['7248.2.a.bc', '7248.2.a.y']
['7267.2.a.b', '7267.2.a.f']
['7272.2.a.l', '7272.2.a.r']
['7280.2.a.bd', '7280.2.a.bx']
['7320.2.a.ba', '7320.2.a.be']
['7326.2.a.bd', '7326.2.a.t']
['7326.2.a.bi', '7326.2.a.n']
['7326.2.a.bj', '7326.2.a.v']
