['1025.2.a.h', '1025.2.a.j']
['1125.2.a.a', '1125.2.a.k']
['1125.2.a.f', '1125.2.a.k']
['1233.2.a.a', '1233.2.a.d']
['1286.2.a.b', '1286.2.a.c']
['1325.2.a.g', '1325.2.a.p']
['1744.2.a.f', '1744.2.a.n']
['1846.2.a.a', '1846.2.a.g']
['1850.2.a.t', '1850.2.a.z']
['1908.2.a.i', '1908.2.a.k']
['1922.2.a.g', '1922.2.a.h']
['1922.2.a.g', '1922.2.a.m']
['1922.2.a.h', '1922.2.a.k']
['1922.2.a.h', '1922.2.a.j']
['1922.2.a.i', '1922.2.a.k']
['1922.2.a.i', '1922.2.a.j']
['1922.2.a.j', '1922.2.a.l']
['1922.2.a.j', '1922.2.a.m']
['1922.2.a.k', '1922.2.a.l']
['1922.2.a.k', '1922.2.a.m']
['1922.2.a.n', '1922.2.a.p']
['1922.2.a.o', '1922.2.a.p']
['1922.2.a.p', '1922.2.a.r']
['1922.2.a.p', '1922.2.a.q']
['2259.2.a.e', '2259.2.a.f']
['2277.2.a.c', '2277.2.a.j']
['2350.2.a.ba', '2350.2.a.bf']
['2370.2.a.q', '2370.2.a.u']
['2482.2.a.h', '2482.2.a.i']
['2522.2.a.j', '2522.2.a.r']
['2768.2.a.g', '2768.2.a.h']
['2793.2.a.bb', '2793.2.a.o']
['2793.2.a.n', '2793.2.a.z']
['2870.2.a.m', '2870.2.a.n']
['2952.2.a.j', '2952.2.a.l']
['2958.2.a.e', '2958.2.a.j']
['2961.2.a.n', '2961.2.a.s']
['2968.2.a.h', '2968.2.a.k']
['3010.2.a.l', '3010.2.a.r']
['3325.2.a.q', '3325.2.a.s']
['3408.2.a.r', '3408.2.a.w']
['3438.2.a.g', '3438.2.a.j']
['3555.2.a.j', '3555.2.a.o']
['3612.2.a.m', '3612.2.a.o']
['3675.2.a.bd', '3675.2.a.bk']
['3675.2.a.bf', '3675.2.a.bl']
['3738.2.a.h', '3738.2.a.m']
['3872.2.a.bj', '3872.2.a.y']
['3872.2.a.bj', '3872.2.a.n']
['3872.2.a.bk', '3872.2.a.z']
['3872.2.a.bk', '3872.2.a.o']
['3878.2.a.c', '3878.2.a.d']
['3924.2.a.h', '3924.2.a.p']
['3954.2.a.j', '3954.2.a.k']
['4070.2.a.g', '4070.2.a.j']
['4074.2.a.u', '4074.2.a.x']
['4095.2.a.bc', '4095.2.a.r']
['4100.2.a.b', '4100.2.a.c']
['4263.2.a.j', '4263.2.a.p']
['4272.2.a.l', '4272.2.a.r']
['436.2.a.a', '436.2.a.c']
['4365.2.a.o', '4365.2.a.u']
['4425.2.a.t', '4425.2.a.z']
['4446.2.a.ba', '4446.2.a.bk']
['4557.2.a.p', '4557.2.a.w']
['4576.2.a.i', '4576.2.a.m']
['4576.2.a.j', '4576.2.a.k']
['4640.2.a.j', '4640.2.a.l']
['4640.2.a.k', '4640.2.a.r']
['4662.2.a.be', '4662.2.a.v']
['4734.2.a.h', '4734.2.a.l']
['4850.2.a.n', '4850.2.a.r']
['5058.2.a.f', '5058.2.a.j']
['5168.2.a.p', '5168.2.a.t']
['5325.2.a.u', '5325.2.a.w']
['5418.2.a.bj', '5418.2.a.bk']
['5425.2.a.u', '5425.2.a.v']
['5450.2.a.bg', '5450.2.a.r']
['5450.2.a.bl', '5450.2.a.y']
['5478.2.a.u', '5478.2.a.w']
['5566.2.a.bd', '5566.2.a.u']
['5566.2.a.n', '5566.2.a.z']
['5580.2.a.k', '5580.2.a.l']
['5640.2.a.i', '5640.2.a.q']
['5687.2.a.k', '5687.2.a.s']
['5766.2.a.a', '5766.2.a.x']
['5766.2.a.ba', '5766.2.a.e']
['5766.2.a.bb', '5766.2.a.n']
['5766.2.a.bc', '5766.2.a.bf']
['5766.2.a.bc', '5766.2.a.s']
['5766.2.a.bc', '5766.2.a.bd']
['5766.2.a.bd', '5766.2.a.be']
['5766.2.a.be', '5766.2.a.bf']
['5766.2.a.bf', '5766.2.a.r']
['5766.2.a.bg', '5766.2.a.bj']
['5766.2.a.bg', '5766.2.a.u']
['5766.2.a.bg', '5766.2.a.bh']
['5766.2.a.bh', '5766.2.a.bi']
['5766.2.a.bi', '5766.2.a.bj']
['5766.2.a.bj', '5766.2.a.t']
['5766.2.a.j', '5766.2.a.y']
['5766.2.a.j', '5766.2.a.w']
['5766.2.a.n', '5766.2.a.z']
['5904.2.a.bb', '5904.2.a.bh']
['5936.2.a.bh', '5936.2.a.v']
['5958.2.a.s', '5958.2.a.t']
['6144.2.a.a', '6144.2.a.c']
