['1206.2.a.h', '1206.2.a.n']
['1206.2.a.k', '1206.2.a.o']
['1462.2.a.e', '1462.2.a.g']
['162.2.a.a', '5994.2.a.m']
['162.2.a.d', '5994.2.a.p']
['1668.2.a.e', '1668.2.a.f']
['1818.2.a.t', '1818.2.a.u']
['1845.2.a.k', '1845.2.a.m']
['1930.2.a.b', '1930.2.a.c']
['2242.2.a.c', '2242.2.a.d']
['2296.2.a.d', '2296.2.a.h']
['2312.2.a.o', '2312.2.a.p']
['2312.2.a.q', '2312.2.a.r']
['2475.2.a.be', '2475.2.a.bi']
['2475.2.a.bi', '2475.2.a.y']
['2628.2.a.e', '2628.2.a.f']
['2660.2.a.i', '2660.2.a.m']
['2666.2.a.i', '2666.2.a.k']
['2680.2.a.i', '2680.2.a.k']
['2682.2.a.r', '2682.2.a.t']
['2694.2.a.n', '2694.2.a.o']
['3384.2.a.n', '3384.2.a.r']
['3474.2.a.l', '3474.2.a.p']
['3474.2.a.n', '3474.2.a.q']
['3540.2.a.k', '3540.2.a.m']
['3663.2.a.m', '3663.2.a.o']
['3710.2.a.c', '3710.2.a.d']
['3762.2.a.bc', '3762.2.a.bg']
['3924.2.a.m', '3924.2.a.p']
['3984.2.a.j', '3984.2.a.u']
['4068.2.a.e', '4068.2.a.j']
['4122.2.a.i', '4122.2.a.k']
['4122.2.a.j', '4122.2.a.m']
['4150.2.a.bb', '4150.2.a.t']
['4338.2.a.o', '4338.2.a.p']
['4494.2.a.l', '4494.2.a.m']
['4572.2.a.o', '4572.2.a.p']
['4592.2.a.w', '4592.2.a.y']
['4624.2.a.bb', '4624.2.a.z']
['4624.2.a.bi', '4624.2.a.bk']
['4675.2.a.bd', '4675.2.a.z']
['4736.2.a.e', '4736.2.a.m']
['4736.2.a.f', '4736.2.a.l']
['4736.2.a.g', '4736.2.a.n']
['4736.2.a.h', '4736.2.a.k']
['4962.2.a.r', '4962.2.a.s']
['4986.2.a.h', '4986.2.a.i']
['5004.2.a.h', '5004.2.a.i']
['5112.2.a.h', '5112.2.a.j']
['5168.2.a.q', '5168.2.a.t']
['5202.2.a.bf', '5202.2.a.bi']
['5202.2.a.bg', '5202.2.a.bk']
['5355.2.a.bb', '5355.2.a.bi']
['5360.2.a.ba', '5360.2.a.bc']
['5370.2.a.a', '5370.2.a.m']
['5382.2.a.bj', '5382.2.a.bq']
['5382.2.a.bk', '5382.2.a.bq']
['5580.2.a.m', '5580.2.a.n']
['5742.2.a.bh', '5742.2.a.bu']
['6030.2.a.bj', '6030.2.a.bk']
['6060.2.a.f', '6060.2.a.g']
['6200.2.a.p', '6200.2.a.q']
['6264.2.a.i', '6264.2.a.m']
['6264.2.a.k', '6264.2.a.n']
['6270.2.a.ba', '6270.2.a.bb']
['6660.2.a.o', '6660.2.a.r']
['6672.2.a.be', '6672.2.a.bh']
['6768.2.a.bk', '6768.2.a.bt']
['6800.2.a.bk', '6800.2.a.bw']
['6800.2.a.bp', '6800.2.a.bt']
['6972.2.a.j', '6972.2.a.k']
['7038.2.a.bb', '7038.2.a.bc']
['7070.2.a.o', '7070.2.a.s']
['7152.2.a.k', '7152.2.a.m']
['7154.2.a.q', '7154.2.a.r']
['7300.2.a.i', '7300.2.a.k']
['7326.2.a.x', '7326.2.a.y']
['7470.2.a.be', '7470.2.a.bf']
['7502.2.a.h', '7502.2.a.l']
['7656.2.a.o', '7656.2.a.r']
['8082.2.a.t', '8082.2.a.u']
['8134.2.a.n', '8134.2.a.o']
['8228.2.a.k', '8228.2.a.m']
['8280.2.a.bm', '8280.2.a.bo']
['8442.2.a.t', '8442.2.a.z']
['8514.2.a.bd', '8514.2.a.w']
['8568.2.a.bg', '8568.2.a.bk']
['8600.2.a.k', '8600.2.a.m']
['8910.2.a.br', '8910.2.a.u']
['8910.2.a.bt', '8910.2.a.x']
['894.2.a.h', '894.2.a.i']
['9072.2.a.bp', '9072.2.a.ci']
['9072.2.a.ci', '9072.2.a.y']
['9225.2.a.ca', '9225.2.a.cf']
['9270.2.a.bj', '9270.2.a.bl']
['9350.2.a.bw', '9350.2.a.by']
['9576.2.a.cc', '9576.2.a.ck']
['9648.2.a.ba', '9648.2.a.bk']
['9648.2.a.bp', '9648.2.a.z']
['9650.2.a.ba', '9650.2.a.t']
['9744.2.a.bk', '9744.2.a.bt']
