['1012.2.a.d', '1012.2.a.g']
['1064.2.a.e', '1064.2.a.f']
['1208.2.a.b', '1208.2.a.c']
['1342.2.a.f', '1342.2.a.j']
['1395.2.a.j', '1395.2.a.m']
['1744.2.a.d', '1744.2.a.l']
['1808.2.a.i', '1808.2.a.j']
['1880.2.a.e', '1880.2.a.j']
['1898.2.a.d', '1898.2.a.e']
['2128.2.a.d', '2128.2.a.q']
['2296.2.a.e', '2296.2.a.f']
['2354.2.a.d', '2354.2.a.f']
['2366.2.a.bb', '2366.2.a.z']
['2366.2.a.u', '2366.2.a.w']
['2416.2.a.h', '2416.2.a.k']
['2416.2.a.i', '2416.2.a.l']
['2470.2.a.a', '2470.2.a.r']
['2526.2.a.f', '2526.2.a.m']
['2704.2.a.ba', '2704.2.a.v']
['2704.2.a.w', '2704.2.a.z']
['2718.2.a.w', '2718.2.a.x']
['2964.2.a.h', '2964.2.a.n']
['2968.2.a.i', '2968.2.a.k']
['3050.2.a.s', '3050.2.a.t']
['3190.2.a.k', '3190.2.a.o']
['3362.2.a.s', '3362.2.a.v']
['3362.2.a.t', '3362.2.a.u']
['3760.2.a.bd', '3760.2.a.v']
['3786.2.a.h', '3786.2.a.m']
['3816.2.a.f', '3816.2.a.g']
['4025.2.a.h', '4025.2.a.n']
['4048.2.a.d', '4048.2.a.x']
['4134.2.a.h', '4134.2.a.m']
['4134.2.a.l', '4134.2.a.n']
['4230.2.a.bo', '4230.2.a.bu']
['4312.2.a.m', '4312.2.a.x']
['4312.2.a.u', '4312.2.a.v']
['4592.2.a.u', '4592.2.a.z']
['4750.2.a.e', '4750.2.a.f']
['4750.2.a.g', '4750.2.a.h']
['4824.2.a.e', '4824.2.a.r']
['4824.2.a.h', '4824.2.a.o']
['4998.2.a.ca', '4998.2.a.co']
['4998.2.a.ce', '4998.2.a.cp']
['5180.2.a.h', '5180.2.a.i']
['5236.2.a.f', '5236.2.a.h']
['5635.2.a.q', '5635.2.a.t']
['5776.2.a.bt', '5776.2.a.bu']
['5776.2.a.bu', '5776.2.a.bv']
['5936.2.a.bh', '5936.2.a.s']
['5982.2.a.p', '5982.2.a.s']
['6174.2.a.g', '6174.2.a.k']
['6174.2.a.l', '6174.2.a.p']
['6225.2.a.o', '6225.2.a.p']
['6486.2.a.bb', '6486.2.a.w']
['6517.2.a.c', '6517.2.a.e']
['6517.2.a.d', '6517.2.a.f']
['6550.2.a.r', '6550.2.a.v']
['6675.2.a.p', '6675.2.a.r']
['6786.2.a.bk', '6786.2.a.bm']
['6954.2.a.ba', '6954.2.a.z']
['6975.2.a.bf', '6975.2.a.bj']
['6976.2.a.j', '6976.2.a.z']
['6976.2.a.q', '6976.2.a.s']
['7120.2.a.bc', '7120.2.a.v']
['7232.2.a.o', '7232.2.a.v']
['7232.2.a.t', '7232.2.a.u']
['7245.2.a.be', '7245.2.a.v']
['7434.2.a.bd', '7434.2.a.p']
['7448.2.a.bi', '7448.2.a.y']
['7470.2.a.ba', '7470.2.a.bm']
['7470.2.a.bh', '7470.2.a.bu']
['7497.2.a.bb', '7497.2.a.bm']
['7497.2.a.bc', '7497.2.a.bn']
['7578.2.a.p', '7578.2.a.v']
['7590.2.a.bh', '7590.2.a.by']
['7632.2.a.bf', '7632.2.a.bg']
['7812.2.a.n', '7812.2.a.t']
['7950.2.a.cf', '7950.2.a.cu']
['7950.2.a.ch', '7950.2.a.cv']
['805.2.a.e', '805.2.a.h']
['8134.2.a.h', '8134.2.a.q']
['8184.2.a.s', '8184.2.a.t']
['8512.2.a.ba', '8512.2.a.bk']
['8512.2.a.bo', '8512.2.a.e']
['8550.2.a.bq', '8550.2.a.cj']
['8550.2.a.ca', '8550.2.a.co']
['8624.2.a.bg', '8624.2.a.cq']
['8624.2.a.cd', '8624.2.a.cf']
['8649.2.a.r', '8649.2.a.z']
['8649.2.a.r', '8649.2.a.y']
['8650.2.a.k', '8650.2.a.l']
['8658.2.a.s', '8658.2.a.t']
['8892.2.a.bc', '8892.2.a.s']
['9062.2.a.h', '9062.2.a.i']
['9075.2.a.cb', '9075.2.a.cq']
['9075.2.a.dg', '9075.2.a.u']
['9100.2.a.be', '9100.2.a.bi']
['9100.2.a.bf', '9100.2.a.bj']
['9108.2.a.a', '9108.2.a.ba']
['9350.2.a.bv', '9350.2.a.cl']
['9400.2.a.t', '9400.2.a.x']
['9520.2.a.bd', '9520.2.a.s']
['9520.2.a.p', '9520.2.a.w']
['9552.2.a.t', '9552.2.a.u']
['9576.2.a.bc', '9576.2.a.ca']
['9648.2.a.bh', '9648.2.a.bu']
['9648.2.a.bz', '9648.2.a.w']
['9664.2.a.ba', '9664.2.a.o']
['9664.2.a.bb', '9664.2.a.p']
['9664.2.a.s', '9664.2.a.x']
['9664.2.a.t', '9664.2.a.w']
['9744.2.a.ba', '9744.2.a.bv']
['9810.2.a.be', '9810.2.a.bg']
['9912.2.a.n', '9912.2.a.q']
['9968.2.a.v', '9968.2.a.w']
['9975.2.a.bo', '9975.2.a.x']
