['1953.2.a.i', '1953.2.a.t']
['3008.2.a.g', '3008.2.a.q']
['3008.2.a.h', '3008.2.a.p']
['3222.2.a.p', '3222.2.a.q']
['3294.2.a.m', '3294.2.a.p']
['3294.2.a.n', '3294.2.a.u']
['3339.2.a.m', '3339.2.a.n']
['4002.2.a.ba', '4002.2.a.y']
['4275.2.a.bo', '4275.2.a.x']
['4932.2.a.d', '4932.2.a.e']
['5187.2.a.r', '5187.2.a.t']
['5538.2.a.r', '5538.2.a.v']
['6450.2.a.bp', '6450.2.a.cf']
['6450.2.a.ce', '6450.2.a.ck']
['6570.2.a.bv', '6570.2.a.bz']
['6762.2.a.ci', '6762.2.a.ck']
['6762.2.a.cq', '6762.2.a.ct']
['6768.2.a.bv', '6768.2.a.w']
['7100.2.a.d', '7100.2.a.h']
['7266.2.a.l', '7266.2.a.q']
['7308.2.a.k', '7308.2.a.m']
['752.2.a.c', '752.2.a.h']
['7578.2.a.t', '7578.2.a.u']
['7740.2.a.j', '7740.2.a.k']
['7740.2.a.o', '7740.2.a.p']
['7830.2.a.bf', '7830.2.a.x']
['7830.2.a.bi', '7830.2.a.y']
['8235.2.a.p', '8235.2.a.s']
['8235.2.a.q', '8235.2.a.t']
['8330.2.a.bc', '8330.2.a.cc']
['8330.2.a.bh', '8330.2.a.by']
['8330.2.a.bl', '8330.2.a.ch']
['8330.2.a.bn', '8330.2.a.ci']
['8370.2.a.bc', '8370.2.a.be']
['8370.2.a.bg', '8370.2.a.bi']
['855.2.a.e', '855.2.a.m']
['8925.2.a.bg', '8925.2.a.bw']
['9506.2.a.k', '9506.2.a.m']
