['1001.2.a.e', '5005.2.a.d']
['1003.2.a.a', '5015.2.a.c']
['1008.2.a.a', '5040.2.a.bl']
['1008.2.a.m', '5040.2.a.a']
['1012.2.a.b', '1012.2.a.e']
['1012.2.a.h', '5060.2.a.d']
['1014.2.a.a', '5070.2.a.b']
['1014.2.a.e', '5070.2.a.r']
['1017.2.a.d', '5085.2.a.b']
['1017.2.a.f', '5085.2.a.e']
['1017.2.a.i', '5085.2.a.i']
['1018.2.a.c', '5090.2.a.h']
['102.2.a.a', '510.2.a.h']
['102.2.a.b', '2550.2.a.h']
['1020.2.a.a', '204.2.a.a']
['1020.2.a.f', '1020.2.a.g']
['1020.2.a.h', '204.2.a.b']
['1022.2.a.a', '5110.2.a.p']
['1024.2.a.g', '5120.2.a.r']
['1024.2.a.g', '5120.2.a.q']
['1024.2.a.j', '5120.2.a.b']
['1024.2.a.j', '5120.2.a.a']
['1025.2.a.d', '1025.2.a.j']
['1026.2.a.f', '5130.2.a.h']
['1026.2.a.k', '5130.2.a.m']
['1030.2.a.b', '1030.2.a.e']
['1030.2.a.f', '206.2.a.a']
['1030.2.a.f', '206.2.a.c']
['1032.2.a.c', '1032.2.a.g']
['1035.2.a.c', '1035.2.a.k']
['1035.2.a.f', '1035.2.a.k']
['1036.2.a.b', '5180.2.a.a']
['1038.2.a.f', '5190.2.a.i']
['1038.2.a.f', '5190.2.a.m']
['1038.2.a.i', '5190.2.a.k']
['1040.2.a.b', '208.2.a.d']
['1043.2.a.a', '5215.2.a.c']
['1044.2.a.b', '1044.2.a.h']
['1044.2.a.c', '1044.2.a.i']
['1044.2.a.j', '5220.2.a.g']
['1050.2.a.d', '1050.2.a.e']
['1050.2.a.f', '1050.2.a.g']
['1050.2.a.i', '1050.2.a.j']
['1050.2.a.m', '1050.2.a.n']
['1050.2.a.o', '1050.2.a.p']
['1058.2.a.a', '1058.2.a.e']
['1058.2.a.b', '1058.2.a.d']
['1058.2.a.c', '5290.2.a.e']
['106.2.a.a', '530.2.a.f']
['106.2.a.b', '530.2.a.a']
['106.2.a.d', '2650.2.a.i']
['1062.2.a.a', '5310.2.a.e']
['1062.2.a.b', '5310.2.a.bq']
['1062.2.a.f', '5310.2.a.bo']
['1062.2.a.j', '1062.2.a.m']
['1062.2.a.l', '1062.2.a.m']
['1071.2.a.a', '5355.2.a.bb']
['1071.2.a.b', '5355.2.a.k']
['1071.2.a.k', '5355.2.a.b']
['1072.2.a.b', '1072.2.a.j']
['1072.2.a.c', '5360.2.a.w']
['1072.2.a.c', '5360.2.a.b']
['1072.2.a.i', '5360.2.a.e']
['1074.2.a.b', '1074.2.a.c']
['1075.2.a.a', '1075.2.a.k']
['1075.2.a.b', '1075.2.a.j']
['1075.2.a.f', '1075.2.a.k']
['1075.2.a.g', '1075.2.a.j']
['1078.2.a.a', '5390.2.a.b']
['1078.2.a.d', '5390.2.a.i']
['1078.2.a.f', '5390.2.a.s']
['108.2.a.a', '2700.2.a.a']
['1080.2.a.b', '216.2.a.b']
['1080.2.a.f', '216.2.a.d']
['1080.2.a.h', '216.2.a.c']
['1080.2.a.k', '216.2.a.a']
['1085.2.a.b', '1085.2.a.l']
['1086.2.a.h', '5430.2.a.b']
['1088.2.a.a', '5440.2.a.by']
['1088.2.a.j', '5440.2.a.by']
['1088.2.a.u', '5440.2.a.s']
['1088.2.a.v', '5440.2.a.j']
['1089.2.a.b', '5445.2.a.z']
['1089.2.a.c', '5445.2.a.d']
['1089.2.a.d', '5445.2.a.bs']
['1089.2.a.h', '5445.2.a.bh']
['1089.2.a.i', '5445.2.a.h']
['1090.2.a.b', '1090.2.a.k']
['1092.2.a.b', '5460.2.a.p']
['1092.2.a.d', '5460.2.a.c']
['1098.2.a.a', '5490.2.a.bn']
['1098.2.a.b', '5490.2.a.b']
['1098.2.a.c', '5490.2.a.k']
['1098.2.a.h', '5490.2.a.bk']
['1098.2.a.i', '5490.2.a.o']
['1098.2.a.o', '5490.2.a.c']
['1098.2.a.q', '5490.2.a.t']
['1100.2.a.b', '1100.2.a.g']
['1100.2.a.c', '1100.2.a.h']
['1100.2.a.d', '1100.2.a.g']
['1100.2.a.f', '1100.2.a.j']
['1100.2.a.i', '1100.2.a.j']
['1102.2.a.b', '5510.2.a.n']
['1104.2.a.i', '5520.2.a.bo']
['1105.2.a.a', '221.2.a.a']
['1105.2.a.a', '221.2.a.d']
['1106.2.a.h', '5530.2.a.s']
['111.2.a.a', '2775.2.a.e']
['111.2.a.b', '555.2.a.a']
['1110.2.a.a', '1110.2.a.b']
['1110.2.a.d', '222.2.a.a']
['1110.2.a.g', '222.2.a.c']
['1110.2.a.n', '1110.2.a.o']
['1113.2.a.a', '1113.2.a.h']
['1116.2.a.a', '1116.2.a.d']
['1116.2.a.b', '5580.2.a.c']
['1116.2.a.c', '5580.2.a.g']
['112.2.a.a', '560.2.a.f']
['112.2.a.c', '2800.2.a.b']
['1128.2.a.a', '1128.2.a.d']
['1131.2.a.b', '5655.2.a.e']
['1134.2.a.b', '5670.2.a.b']
['1134.2.a.g', '5670.2.a.n']
['1136.2.a.e', '1136.2.a.k']
['1136.2.a.i', '5680.2.a.i']
['114.2.a.a', '2850.2.a.f']
['114.2.a.c', '2850.2.a.bj']
['1142.2.a.a', '1142.2.a.g']
['1142.2.a.e', '1142.2.a.g']
['1143.2.a.c', '5715.2.a.i']
['1144.2.a.b', '5720.2.a.o']
['1150.2.a.a', '1150.2.a.d']
['1150.2.a.c', '1150.2.a.r']
['1150.2.a.e', '1150.2.a.i']
['1150.2.a.f', '1150.2.a.s']
['1150.2.a.g', '1150.2.a.h']
['1150.2.a.g', '1150.2.a.o']
['1150.2.a.h', '1150.2.a.o']
['1150.2.a.k', '1150.2.a.r']
['1150.2.a.p', '1150.2.a.s']
['1152.2.a.a', '5760.2.a.bf']
['1152.2.a.b', '5760.2.a.bo']
['1152.2.a.s', '5760.2.a.c']
['1152.2.a.t', '5760.2.a.v']
['1155.2.a.f', '1155.2.a.q']
['1155.2.a.m', '1155.2.a.q']
['1156.2.a.b', '5780.2.a.b']
['1156.2.a.d', '5780.2.a.c']
['1158.2.a.b', '1158.2.a.j']
['1158.2.a.c', '1158.2.a.k']
['116.2.a.a', '116.2.a.c']
['1160.2.a.f', '232.2.a.b']
['1164.2.a.b', '1164.2.a.d']
['1164.2.a.d', '5820.2.a.b']
['1166.2.a.h', '5830.2.a.a']
['1168.2.a.i', '5840.2.a.k']
['1170.2.a.d', '234.2.a.b']
['1173.2.a.d', '1173.2.a.h']
['1176.2.a.c', '5880.2.a.bu']
['1176.2.a.g', '5880.2.a.bv']
['1178.2.a.a', '1178.2.a.h']
['1178.2.a.c', '1178.2.a.k']
['1180.2.a.e', '236.2.a.a']
['1183.2.a.k', '5915.2.a.k']
['1183.2.a.l', '5915.2.a.c']
['119.2.a.a', '595.2.a.b']
['1190.2.a.l', '238.2.a.b']
['1200.2.a.a', '1200.2.a.f']
['1200.2.a.b', '1200.2.a.h']
['1200.2.a.c', '1200.2.a.g']
['1200.2.a.d', '1200.2.a.i']
['1200.2.a.l', '1200.2.a.q']
['1200.2.a.m', '1200.2.a.p']
['1200.2.a.n', '1200.2.a.s']
['1206.2.a.b', '6030.2.a.bl']
['1206.2.a.d', '6030.2.a.bs']
['1206.2.a.e', '6030.2.a.bq']
['1206.2.a.h', '6030.2.a.a']
['121.2.a.a', '605.2.a.a']
['121.2.a.c', '605.2.a.c']
['1210.2.a.a', '1210.2.a.g']
['1210.2.a.h', '1210.2.a.m']
['1215.2.a.b', '243.2.a.d']
['1215.2.a.e', '1215.2.a.l']
['1215.2.a.f', '1215.2.a.n']
['1215.2.a.g', '243.2.a.d']
['1216.2.a.c', '6080.2.a.f']
['1216.2.a.d', '6080.2.a.bs']
['1216.2.a.g', '6080.2.a.by']
['1216.2.a.n', '6080.2.a.bo']
['1216.2.a.p', '6080.2.a.bw']
['1216.2.a.q', '6080.2.a.v']
['1218.2.a.f', '6090.2.a.q']
['1218.2.a.g', '6090.2.a.ba']
['1218.2.a.h', '1218.2.a.r']
['122.2.a.a', '610.2.a.e']
['1225.2.a.b', '1225.2.a.z']
['1225.2.a.bb', '1225.2.a.v']
['1225.2.a.bb', '1225.2.a.l']
['1225.2.a.c', '1225.2.a.o']
['1225.2.a.d', '1225.2.a.y']
['1225.2.a.f', '1225.2.a.x']
['1225.2.a.g', '1225.2.a.w']
['1225.2.a.o', '1225.2.a.t']
['1225.2.a.t', '49.2.a.a']
['1230.2.a.i', '1230.2.a.j']
['1232.2.a.e', '6160.2.a.i']
['1232.2.a.i', '6160.2.a.bg']
['1232.2.a.j', '6160.2.a.bh']
['1232.2.a.l', '6160.2.a.bn']
['1233.2.a.a', '6165.2.a.i']
['124.2.a.b', '620.2.a.b']
['1240.2.a.g', '248.2.a.a']
['1242.2.a.a', '1242.2.a.h']
['1242.2.a.f', '6210.2.a.by']
['1242.2.a.g', '6210.2.a.j']
['1242.2.a.i', '1242.2.a.m']
['1242.2.a.k', '6210.2.a.ca']
['1242.2.a.l', '6210.2.a.s']
['1245.2.a.a', '249.2.a.a']
['1246.2.a.a', '1246.2.a.g']
['1248.2.a.o', '6240.2.a.o']
['1248.2.a.p', '6240.2.a.z']
['1254.2.a.h', '6270.2.a.bl']
['1254.2.a.j', '6270.2.a.r']
['126.2.a.b', '3150.2.a.bq']
['1260.2.a.c', '1260.2.a.e']
['1260.2.a.g', '252.2.a.a']
['1264.2.a.c', '1264.2.a.l']
['1264.2.a.e', '6320.2.a.w']
['1264.2.a.f', '6320.2.a.g']
['1266.2.a.k', '6330.2.a.e']
['1270.2.a.c', '254.2.a.a']
['1274.2.a.h', '6370.2.a.y']
['1274.2.a.o', '6370.2.a.l']
['1275.2.a.a', '1275.2.a.s']
['1275.2.a.b', '1275.2.a.q']
['1275.2.a.c', '1275.2.a.d']
['1275.2.a.f', '1275.2.a.r']
['1275.2.a.g', '1275.2.a.o']
['1275.2.a.n', '1275.2.a.o']
['1278.2.a.a', '6390.2.a.i']
['1278.2.a.b', '1278.2.a.s']
['1278.2.a.c', '6390.2.a.be']
['1278.2.a.d', '6390.2.a.bn']
['1278.2.a.f', '1278.2.a.k']
['1278.2.a.i', '6390.2.a.bg']
['1278.2.a.j', '6390.2.a.bp']
['1287.2.a.a', '1287.2.a.l']
['1287.2.a.b', '1287.2.a.h']
['1287.2.a.c', '1287.2.a.n']
['1288.2.a.a', '6440.2.a.r']
['1288.2.a.b', '1288.2.a.f']
['1288.2.a.g', '1288.2.a.m']
['1288.2.a.o', '6440.2.a.s']
['1288.2.a.o', '6440.2.a.f']
['129.2.a.b', '129.2.a.d']
['1290.2.a.b', '258.2.a.b']
['1290.2.a.f', '1290.2.a.h']
['1290.2.a.n', '1290.2.a.r']
['1290.2.a.r', '258.2.a.f']
['1296.2.a.d', '6480.2.a.d']
['1296.2.a.e', '6480.2.a.bc']
['1296.2.a.h', '6480.2.a.s']
['1296.2.a.i', '6480.2.a.bl']
['130.2.a.c', '26.2.a.b']
['1300.2.a.b', '1300.2.a.j']
['1300.2.a.c', '1300.2.a.d']
['1300.2.a.f', '1300.2.a.k']
['1300.2.a.g', '1300.2.a.k']
['1300.2.a.h', '1300.2.a.j']
['1302.2.a.c', '6510.2.a.be']
['1302.2.a.k', '6510.2.a.ca']
['1302.2.a.o', '6510.2.a.bc']
['1305.2.a.c', '1305.2.a.o']
['1305.2.a.e', '1305.2.a.m']
['1305.2.a.o', '261.2.a.d']
['1308.2.a.b', '1308.2.a.h']
['1308.2.a.f', '1308.2.a.h']
['1309.2.a.b', '6545.2.a.a']
['1311.2.a.b', '1311.2.a.h']
['1311.2.a.d', '6555.2.a.l']
['1311.2.a.g', '6555.2.a.c']
['1311.2.a.h', '6555.2.a.e']
['1312.2.a.d', '6560.2.a.l']
['1312.2.a.e', '6560.2.a.a']
['1314.2.a.g', '6570.2.a.by']
['1314.2.a.n', '6570.2.a.n']
['1315.2.a.c', '1315.2.a.g']
['1315.2.a.d', '1315.2.a.g']
['1320.2.a.j', '264.2.a.d']
['1323.2.a.d', '6615.2.a.e']
