['1570.2.a.h', '1570.2.a.i']
['2758.2.a.e', '2758.2.a.i']
['3924.2.a.g', '3924.2.a.n']
['3987.2.a.i', '3987.2.a.j']
['3987.2.a.k', '3987.2.a.l']
['4130.2.a.f', '4130.2.a.j']
['4824.2.a.k', '4824.2.a.n']
['5150.2.a.bg', '5150.2.a.v']
['5418.2.a.bp', '5418.2.a.bs']
['6498.2.a.bl', '6498.2.a.bo']
['6498.2.a.bq', '6498.2.a.bt']
['6549.2.a.b', '6549.2.a.c']
['6566.2.a.bb', '6566.2.a.bd']
['6732.2.a.l', '6732.2.a.m']
['7110.2.a.bg', '7110.2.a.bq']
['7462.2.a.p', '7462.2.a.t']
['7595.2.a.p', '7595.2.a.s']
['7850.2.a.j', '7850.2.a.l']
['9270.2.a.bn', '9270.2.a.bu']
['9540.2.a.j', '9540.2.a.m']
['9594.2.a.bj', '9594.2.a.bk']
['9648.2.a.bo', '9648.2.a.bt']
