['1107.2.a.c', '1107.2.a.i']
['1107.2.a.d', '1107.2.a.j']
['1107.2.a.e', '1107.2.a.l']
['1107.2.a.f', '1107.2.a.g']
['1858.2.a.f', '1858.2.a.g']
['2034.2.a.q', '2034.2.a.r']
['2325.2.a.o', '2325.2.a.v']
['2425.2.a.g', '2425.2.a.h']
['2820.2.a.g', '2820.2.a.j']
['2926.2.a.d', '2926.2.a.g']
['3250.2.a.a', '3250.2.a.n']
['3250.2.a.l', '3250.2.a.u']
['4332.2.a.e', '4332.2.a.f']
['4332.2.a.j', '4332.2.a.k']
['4716.2.a.e', '4716.2.a.h']
['4746.2.a.o', '4746.2.a.q']
['5922.2.a.bb', '5922.2.a.bf']
['6498.2.a.bv', '6498.2.a.bx']
['6498.2.a.by', '6498.2.a.ca']
['6962.2.a.w', '6962.2.a.x']
['6962.2.a.y', '6962.2.a.z']
['6975.2.a.bo', '6975.2.a.t']
['8460.2.a.p', '8460.2.a.u']
['8712.2.a.bt', '8712.2.a.cd']
['8712.2.a.bu', '8712.2.a.ce']
['8750.2.a.a', '8750.2.a.g']
['8750.2.a.b', '8750.2.a.l']
['909.2.a.e', '909.2.a.f']
['909.2.a.g', '909.2.a.h']
['9350.2.a.ce', '9350.2.a.cf']
