['1775.2.a.e', '1775.2.a.i']
['2006.2.a.p', '2006.2.a.q']
['2057.2.a.g', '2057.2.a.q']
['2057.2.a.l', '2057.2.a.t']
['2442.2.a.s', '2442.2.a.t']
['2838.2.a.p', '2838.2.a.s']
['3190.2.a.g', '3190.2.a.l']
['3410.2.a.d', '3410.2.a.e']
['3546.2.a.p', '3546.2.a.q']
['4254.2.a.d', '4254.2.a.e']
['4851.2.a.bn', '4851.2.a.bu']
['4851.2.a.bo', '4851.2.a.bt']
['4875.2.a.e', '4875.2.a.g']
['4875.2.a.f', '4875.2.a.h']
['5175.2.a.bs', '5175.2.a.bw']
['5175.2.a.bt', '5175.2.a.bv']
['5208.2.a.s', '5208.2.a.t']
['5445.2.a.bb', '5445.2.a.x']
['5445.2.a.bd', '5445.2.a.o']
['5445.2.a.bf', '5445.2.a.bu']
['5445.2.a.bg', '5445.2.a.bt']
['6138.2.a.ba', '6138.2.a.bd']
['639.2.a.h', '639.2.a.i']
['6570.2.a.bp', '6570.2.a.bs']
['6642.2.a.bd', '6642.2.a.bo']
['6642.2.a.bm', '6642.2.a.u']
['6858.2.a.n', '6858.2.a.s']
['6858.2.a.p', '6858.2.a.v']
['6975.2.a.ba', '6975.2.a.bl']
['6975.2.a.bg', '6975.2.a.bm']
['6975.2.a.bh', '6975.2.a.bl']
['6975.2.a.bm', '6975.2.a.z']
['7050.2.a.bw', '7050.2.a.by']
['7326.2.a.w', '7326.2.a.x']
['8514.2.a.bb', '8514.2.a.u']
['8680.2.a.ba', '8680.2.a.y']
['8789.2.a.i', '8789.2.a.k']
['8850.2.a.bt', '8850.2.a.bu']
['9086.2.a.p', '9086.2.a.q']
['9108.2.a.ba', '9108.2.a.bc']
