['2096.2.a.m', '2096.2.a.n']
['2385.2.a.s', '2385.2.a.t']
['2530.2.a.u', '2530.2.a.v']
['2664.2.a.m', '2664.2.a.p']
['3496.2.a.i', '3496.2.a.j']
['4230.2.a.bq', '4230.2.a.bw']
['4700.2.a.t', '4700.2.a.w']
['4700.2.a.u', '4700.2.a.v']
['4716.2.a.e', '4716.2.a.f']
['5148.2.a.m', '5148.2.a.o']
['524.2.a.c', '524.2.a.d']
['5290.2.a.s', '5290.2.a.u']
['5290.2.a.t', '5290.2.a.v']
['5320.2.a.p', '5320.2.a.q']
['5328.2.a.bl', '5328.2.a.bn']
['5775.2.a.bp', '5775.2.a.bz']
['5958.2.a.p', '5958.2.a.u']
['6100.2.a.j', '6100.2.a.k']
['6438.2.a.h', '6438.2.a.j']
['6512.2.a.l', '6512.2.a.n']
['6810.2.a.t', '6810.2.a.u']
['6992.2.a.bh', '6992.2.a.bj']
['7605.2.a.cf', '7605.2.a.ci']
['7605.2.a.ch', '7605.2.a.cj']
['8384.2.a.bi', '8384.2.a.bj']
['8384.2.a.bk', '8384.2.a.bl']
['8550.2.a.bt', '8550.2.a.ci']
['8550.2.a.bz', '8550.2.a.cp']
['9744.2.a.bh', '9744.2.a.bu']
