['2530.2.a.q', '2530.2.a.z']
['4194.2.a.i', '4194.2.a.j']
['4275.2.a.ba', '4275.2.a.be']
['4275.2.a.bh', '4275.2.a.bm']
['4488.2.a.r', '4488.2.a.s']
['4500.2.a.a', '4500.2.a.q']
['4500.2.a.n', '4500.2.a.q']
['6440.2.a.r', '6440.2.a.s']
['7080.2.a.v', '7080.2.a.y']
['7434.2.a.bd', '7434.2.a.bf']
['8568.2.a.bf', '8568.2.a.bj']
['8976.2.a.bz', '8976.2.a.cb']
['9666.2.a.u', '9666.2.a.v']
['9666.2.a.w', '9666.2.a.x']
['9680.2.a.bh', '9680.2.a.cn']
['9680.2.a.bi', '9680.2.a.cm']
['9750.2.a.e', '9750.2.a.o']
['9750.2.a.f', '9750.2.a.s']
['9810.2.a.bh', '9810.2.a.bj']
