['1992.2.a.b', '1992.2.a.e']
['3025.2.a.bb', '3025.2.a.bb']
['3364.2.a.d', '3364.2.a.l']
['3364.2.a.h', '3364.2.a.k']
['3984.2.a.k', '3984.2.a.p']
['4675.2.a.bd', '4675.2.a.w']
['5010.2.a.k', '5010.2.a.r']
['5050.2.a.j', '5050.2.a.l']
['5394.2.a.t', '5394.2.a.u']
['5445.2.a.bg', '5445.2.a.bj']
['5445.2.a.bq', '5445.2.a.bu']
['5976.2.a.g', '5976.2.a.h']
['6390.2.a.bw', '6390.2.a.bx']
['7448.2.a.bf', '7448.2.a.bk']
['8954.2.a.j', '8954.2.a.v']
['9610.2.a.bk', '9610.2.a.bw']
['9610.2.a.bn', '9610.2.a.bx']
